pathway,gene_symbol
MAPK signaling pathway,RASA1
MAPK signaling pathway,RASA2
MAPK signaling pathway,TGFBR2
MAPK signaling pathway,TP53
Malaria,CR1
Malaria,MET
Measles,BAX
Measles,CASP8
Measles,JAK1
Measles,JAK3
Measles,PIK3CA
Measles,PIK3CB
Measles,PIK3R1
Measles,STAT3
Measles,STAT5B
Measles,TNFAIP3
Measles,TP53
Melanogenesis,CREBBP
Melanogenesis,CTNNB1
Melanogenesis,EP300
Melanogenesis,KRAS
Melanogenesis,MAP2K1
Melanogenesis,NRAS
Mismatch repair,MLH1
Mismatch repair,MSH2
Mismatch repair,MSH6
Mismatch repair,PMS2
Mismatch repair,POLD1
Mitophagy,KRAS
Mitophagy,NRAS
Mitophagy,TP53
Mitophagy,USP8
NF-kappa B signaling pathway,ATM
NF-kappa B signaling pathway,CARD11
NF-kappa B signaling pathway,TNFAIP3
NOD-like receptor signaling pathway,CASP8
NOD-like receptor signaling pathway,JAK1
NOD-like receptor signaling pathway,RHOA
NOD-like receptor signaling pathway,TNFAIP3
Natural killer cell mediated cytotoxicity,BRAF
Natural killer cell mediated cytotoxicity,HLA-A
Natural killer cell mediated cytotoxicity,HLA-B
Natural killer cell mediated cytotoxicity,KRAS
Natural killer cell mediated cytotoxicity,MAP2K1
Natural killer cell mediated cytotoxicity,NRAS
Natural killer cell mediated cytotoxicity,PIK3CA
Natural killer cell mediated cytotoxicity,PIK3CB
Natural killer cell mediated cytotoxicity,PIK3R1
Natural killer cell mediated cytotoxicity,PTPN11
Natural killer cell mediated cytotoxicity,PTPN6
Necroptosis,BAX
Necroptosis,CASP8
Necroptosis,JAK1
Necroptosis,JAK3
Necroptosis,STAT3
Necroptosis,STAT5B
Necroptosis,TNFAIP3
Neuroactive ligand-receptor interaction,GRIN2A
Neurotrophin signaling pathway,BAX
Neurotrophin signaling pathway,BRAF
Neurotrophin signaling pathway,KRAS
Neurotrophin signaling pathway,MAP2K1
Neurotrophin signaling pathway,MAP2K7
Neurotrophin signaling pathway,NRAS
Neurotrophin signaling pathway,NTRK1
Neurotrophin signaling pathway,PIK3CA
Neurotrophin signaling pathway,PIK3CB
Neurotrophin signaling pathway,PIK3R1
Neurotrophin signaling pathway,PTPN11
Neurotrophin signaling pathway,RHOA
Neurotrophin signaling pathway,TP53
Neutrophil extracellular trap formation,CR1
Neutrophil extracellular trap formation,MAP2K1
Neutrophil extracellular trap formation,PIK3CA
Neutrophil extracellular trap formation,PIK3CB
Neutrophil extracellular trap formation,PIK3R1
Notch signaling pathway,CREBBP
Notch signaling pathway,EP300
Notch signaling pathway,NCOR2
Notch signaling pathway,NOTCH1
Notch signaling pathway,NOTCH2
Nucleotide excision repair,POLD1
Nucleotide excision repair,POLE
Oocyte meiosis,MAP2K1
Osteoclast differentiation,JAK1
Osteoclast differentiation,MAP2K1
Osteoclast differentiation,MAP2K7
Osteoclast differentiation,PIK3CA
Osteoclast differentiation,PIK3CB
Osteoclast differentiation,PIK3R1
Osteoclast differentiation,TGFBR2
Oxytocin signaling pathway,CACNA1D
Oxytocin signaling pathway,EGFR
Oxytocin signaling pathway,KRAS
Oxytocin signaling pathway,MAP2K1
Oxytocin signaling pathway,NRAS
Oxytocin signaling pathway,RHOA
PI3K-Akt signaling pathway,BRCA1
PI3K-Akt signaling pathway,EGFR
PI3K-Akt signaling pathway,EPHA2
PI3K-Akt signaling pathway,ERBB2
PI3K-Akt signaling pathway,ERBB3
PI3K-Akt signaling pathway,ERBB4
PI3K-Akt signaling pathway,FGFR4
PI3K-Akt signaling pathway,FLT4
PI3K-Akt signaling pathway,FN1
PI3K-Akt signaling pathway,JAK1
PI3K-Akt signaling pathway,JAK3
PI3K-Akt signaling pathway,KRAS
PI3K-Akt signaling pathway,MAP2K1
PI3K-Akt signaling pathway,MET
PI3K-Akt signaling pathway,MYC
PI3K-Akt signaling pathway,NRAS
PI3K-Akt signaling pathway,NTRK1
PI3K-Akt signaling pathway,PIK3CA
PI3K-Akt signaling pathway,PIK3CB
PI3K-Akt signaling pathway,PIK3R1
PI3K-Akt signaling pathway,PTEN
PI3K-Akt signaling pathway,STK11
PI3K-Akt signaling pathway,TP53
PI3K-Akt signaling pathway,TSC1
PI3K-Akt signaling pathway,TSC2
Pancreatic secretion,RHOA
"Parathyroid hormone synthesis, secretion and action",BRAF
"Parathyroid hormone synthesis, secretion and action",EGFR
"Parathyroid hormone synthesis, secretion and action",GNA13
"Parathyroid hormone synthesis, secretion and action",MAP2K1
"Parathyroid hormone synthesis, secretion and action",RHOA
Pathways of neurodegeneration,APC
Pathways of neurodegeneration,AXIN1
Pathways of neurodegeneration,AXIN2
Pathways of neurodegeneration,BAX
Pathways of neurodegeneration,BRAF
Pathways of neurodegeneration,CACNA1D
Pathways of neurodegeneration,CASP8
Pathways of neurodegeneration,CTNNB1
Pathways of neurodegeneration,GRIN2A
Pathways of neurodegeneration,KRAS
Pathways of neurodegeneration,MAP2K1
Pathways of neurodegeneration,MAP2K7
Pathways of neurodegeneration,NRAS
Pathways of neurodegeneration,SDHA
Pertussis,RHOA
Phagosome,HLA-A
Phagosome,HLA-B
Phosphatidylinositol signaling system,PIK3CA
Phosphatidylinositol signaling system,PIK3CB
Phosphatidylinositol signaling system,PIK3R1
Phosphatidylinositol signaling system,PTEN
Phospholipase D signaling pathway,EGFR
Phospholipase D signaling pathway,GNA13
Phospholipase D signaling pathway,KRAS
Phospholipase D signaling pathway,MAP2K1
Phospholipase D signaling pathway,NRAS
Phospholipase D signaling pathway,PIK3CA
Phospholipase D signaling pathway,PIK3CB
Phospholipase D signaling pathway,PIK3R1
Phospholipase D signaling pathway,PTPN11
Phospholipase D signaling pathway,RHOA
Phospholipase D signaling pathway,TSC1
Phospholipase D signaling pathway,TSC2
Platelet activation,ARHGAP35
Platelet activation,ARHGEF12
Platelet activation,GNA13
Platelet activation,PIK3CA
Platelet activation,PIK3CB
Platelet activation,PIK3R1
Platelet activation,RHOA
Primary immunodeficiency,CIITA
Primary immunodeficiency,JAK3
Primary immunodeficiency,PTPRC
Progesterone-mediated oocyte maturation,BRAF
Progesterone-mediated oocyte maturation,KRAS
Progesterone-mediated oocyte maturation,MAP2K1
Progesterone-mediated oocyte maturation,PIK3CA
Progesterone-mediated oocyte maturation,PIK3CB
Progesterone-mediated oocyte maturation,PIK3R1
Prolactin signaling pathway,KRAS
Prolactin signaling pathway,MAP2K1
Prolactin signaling pathway,NRAS
Prolactin signaling pathway,PIK3CA
Prolactin signaling pathway,PIK3CB
Prolactin signaling pathway,PIK3R1
Prolactin signaling pathway,STAT3
Prolactin signaling pathway,STAT5B
Protein processing in endoplasmic reticulum,BAX
Protein processing in endoplasmic reticulum,MAP2K7
Protein processing in endoplasmic reticulum,NFE2L2
Proteoglycans in cancer,ARHGEF12
Proteoglycans in cancer,BRAF
Proteoglycans in cancer,CTNNB1
Proteoglycans in cancer,EGFR
Proteoglycans in cancer,ERBB2
Proteoglycans in cancer,ERBB3
Proteoglycans in cancer,ERBB4
Proteoglycans in cancer,FN1
Proteoglycans in cancer,HSPG2
Proteoglycans in cancer,KRAS
Proteoglycans in cancer,MAP2K1
Proteoglycans in cancer,MET
Proteoglycans in cancer,MYC
Proteoglycans in cancer,NRAS
Proteoglycans in cancer,PIK3CA
Proteoglycans in cancer,PIK3CB
Proteoglycans in cancer,PIK3R1
Proteoglycans in cancer,PTCH1
Proteoglycans in cancer,PTPN11
Proteoglycans in cancer,PTPN6
Proteoglycans in cancer,RHOA
Proteoglycans in cancer,STAT3
Proteoglycans in cancer,TP53
RIG-I-like receptor signaling pathway,CASP8
RIG-I-like receptor signaling pathway,DDX3X
RNA transport,PABPC1
Rap1 signaling pathway,BRAF
Rap1 signaling pathway,CDH1
Rap1 signaling pathway,CTNNB1
Rap1 signaling pathway,EGFR
Rap1 signaling pathway,EPHA2
Rap1 signaling pathway,FGFR4
Rap1 signaling pathway,FLT4
Rap1 signaling pathway,GRIN2A
Rap1 signaling pathway,KRAS
Rap1 signaling pathway,MAP2K1
Rap1 signaling pathway,MET
Rap1 signaling pathway,NRAS
Rap1 signaling pathway,PIK3CA
Rap1 signaling pathway,PIK3CB
Rap1 signaling pathway,PIK3R1
Rap1 signaling pathway,PRKD2
Rap1 signaling pathway,RHOA
Ras signaling pathway,EGFR
Ras signaling pathway,EPHA2
Ras signaling pathway,FGFR4
Ras signaling pathway,FLT4
Ras signaling pathway,GRIN2A
Ras signaling pathway,KRAS
Ras signaling pathway,MAP2K1
Ras signaling pathway,MET
Ras signaling pathway,NF1
Ras signaling pathway,NRAS
Ras signaling pathway,NTRK1
Ras signaling pathway,PIK3CA
Ras signaling pathway,PIK3CB
Ras signaling pathway,PIK3R1
Ras signaling pathway,PTPN11
Ras signaling pathway,RASA1
Ras signaling pathway,RASA2
Ras signaling pathway,RHOA
Regulation of actin cytoskeleton,APC
Regulation of actin cytoskeleton,ARHGAP35
Regulation of actin cytoskeleton,ARHGEF12
Regulation of actin cytoskeleton,BRAF
Regulation of actin cytoskeleton,EGFR
Regulation of actin cytoskeleton,FGFR4
Regulation of actin cytoskeleton,FN1
Regulation of actin cytoskeleton,GNA13
Regulation of actin cytoskeleton,KRAS
Regulation of actin cytoskeleton,MAP2K1
Regulation of actin cytoskeleton,MYH9
Regulation of actin cytoskeleton,NRAS
Regulation of actin cytoskeleton,PIK3CA
Regulation of actin cytoskeleton,PIK3CB
Regulation of actin cytoskeleton,PIK3R1
Regulation of actin cytoskeleton,RHOA
Regulation of lipolysis in adipocytes,IRS4
Regulation of lipolysis in adipocytes,PIK3CA
Regulation of lipolysis in adipocytes,PIK3CB
Regulation of lipolysis in adipocytes,PIK3R1
Relaxin signaling pathway,EGFR
Relaxin signaling pathway,KRAS
Relaxin signaling pathway,MAP2K1
Relaxin signaling pathway,MAP2K4
Relaxin signaling pathway,MAP2K7
Relaxin signaling pathway,NRAS
Relaxin signaling pathway,PIK3CA
Relaxin signaling pathway,PIK3CB
Relaxin signaling pathway,PIK3R1
Relaxin signaling pathway,TGFBR2
Renin secretion,CACNA1D
Retrograde endocannabinoid signaling,CACNA1D
Serotonergic synapse,BRAF
Serotonergic synapse,CACNA1D
Serotonergic synapse,KRAS
Serotonergic synapse,MAP2K1
Serotonergic synapse,NRAS
Signaling pathways regulating pluripotency of stem cells,ACVR2A
Signaling pathways regulating pluripotency of stem cells,APC
